protocol_type_encoded,service_encoded,logged_in,count,srv_count,dst_host_count,dst_host_same_src_port_rate,temp0,class
1,6,1,8,8,9,0.11,0,0
1,6,1,8,8,19,0.05,0,0
1,6,1,8,8,29,0.03,0,0
1,6,1,6,6,39,0.03,0,0
1,6,1,6,6,49,0.02,0,0
1,6,1,6,6,59,0.02,0,0
1,6,1,1,2,1,1.0,0,0
1,6,1,5,5,11,0.09,0,0
1,6,1,8,8,8,0.12,0,0
1,6,1,8,8,8,0.12,0,0
1,6,1,18,18,18,0.06,0,0
1,6,1,1,1,28,0.04,0,0
1,6,1,11,11,38,0.03,0,0
1,6,1,4,4,4,0.25,0,0
1,6,1,1,1,14,0.07,0,0
1,6,1,11,11,24,0.04,0,0
1,6,1,2,2,34,0.03,0,0
1,6,1,12,12,44,0.02,0,0
1,6,1,2,8,54,0.02,0,0
1,6,1,7,7,64,0.02,0,0
1,6,1,17,17,74,0.01,0,0
1,6,1,5,5,84,0.01,0,0
1,6,1,12,12,94,0.01,0,0
1,6,1,3,3,3,0.33,0,0
1,6,1,13,13,13,0.08,0,0
1,6,1,23,23,23,0.04,0,0
1,6,1,2,2,5,0.2,0,0
1,6,1,1,1,1,1.0,0,0
1,6,1,6,6,11,0.09,0,0
1,6,1,2,10,21,0.05,0,0
1,6,1,3,3,31,0.03,0,0
1,6,1,2,2,41,0.02,0,0
1,6,1,2,25,2,0.5,0,0
1,6,1,3,13,12,0.08,0,0
1,6,1,3,3,22,0.05,0,0
1,6,1,1,1,32,0.03,0,0
1,6,1,1,1,42,0.02,0,0
1,6,1,2,2,52,0.02,0,0
1,6,1,2,2,62,0.02,0,0
1,6,1,3,3,72,0.01,0,0
1,6,1,3,3,82,0.01,0,0
1,6,1,6,6,10,0.1,0,0
1,6,1,2,13,20,0.05,0,0
1,6,1,4,14,30,0.03,0,0
1,6,1,6,6,40,0.03,0,0
1,6,1,3,3,3,0.33,0,0
1,6,1,4,4,13,0.08,0,0
1,6,1,1,1,23,0.04,0,0
1,6,1,2,2,2,0.5,0,0
1,6,1,4,4,8,0.12,0,0
1,6,1,4,5,18,0.06,0,0
1,6,1,8,8,8,0.12,0,0
1,6,1,18,18,18,0.06,0,0
1,6,1,28,28,28,0.04,0,0
1,6,1,10,10,10,0.1,0,0
1,6,1,7,7,20,0.05,0,0
1,6,1,4,4,30,0.03,0,0
1,6,1,1,1,1,1.0,0,0
1,6,1,9,10,11,0.09,0,0
1,6,1,19,20,21,0.05,0,0
1,6,1,10,10,31,0.03,0,0
1,6,1,6,6,41,0.02,0,0
1,6,1,16,17,51,0.02,0,0
1,6,1,7,7,61,0.02,0,0
1,6,1,17,17,71,0.01,0,0
1,6,1,8,8,81,0.01,0,0
1,6,1,18,18,91,0.01,0,0
1,6,1,9,10,101,0.02,0,0
1,6,1,19,20,111,0.02,0,0
1,6,1,10,20,121,0.01,0,0
1,6,1,6,34,131,0.01,0,0
1,6,1,16,33,141,0.01,0,0
1,6,1,7,7,151,0.01,0,0
1,6,1,17,18,161,0.01,0,0
1,6,1,27,28,171,0.01,0,0
1,6,1,4,10,181,0.01,0,0
1,6,1,14,20,191,0.01,0,0
1,6,1,5,19,201,0.0,0,0
1,6,1,15,34,211,0.0,0,0
1,6,1,6,6,221,0.0,0,0
1,6,1,16,16,231,0.0,0,0
1,6,1,7,7,241,0.0,0,0
1,6,1,3,9,251,0.0,0,0
1,6,1,13,19,255,0.0,0,0
1,6,1,9,14,255,0.0,0,0
1,6,1,5,5,255,0.0,0,0
1,6,1,1,1,255,0.0,0,0
1,6,1,11,11,255,0.0,0,0
1,6,1,2,2,255,0.0,0,0
1,6,1,12,12,255,0.0,0,0
1,6,1,8,8,255,0.0,0,0
1,6,1,4,7,255,0.0,0,0
1,6,1,14,18,255,0.0,0,0
1,6,1,10,10,255,0.0,0,0
1,6,1,2,11,2,0.5,0,0
1,6,1,12,12,12,0.08,0,0
1,6,1,22,22,22,0.05,0,0
1,6,1,1,26,6,0.17,0,0
1,6,1,2,2,16,0.06,0,0
1,6,1,2,2,26,0.04,0,0
1,6,1,4,23,4,0.25,0,0
1,6,1,1,1,14,0.07,0,0
1,6,1,7,7,24,0.04,0,0
1,6,1,4,4,34,0.03,0,0
1,6,1,2,34,10,0.1,0,0
1,6,1,2,2,2,0.5,0,0
1,6,1,5,5,5,0.2,0,0
1,6,1,4,4,4,0.25,0,0
1,6,1,14,14,14,0.07,0,0
